objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,best-practices-participants,,,Best Practices for Participating in Design Studios,"Erica O'Neil, Lincoln Center for Applied Ethics",2021-04-19,Document detailing best practices for participating in ASU Lincoln Center for Applied Ethics design studios on technology and ethics.,best practices; documentation,"Phoenix, Arizona",33.45475452,-112.0704744,"Lincoln Center for Applied Ethics, Arizona State University",,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,best-practices-studios.pdf,,,Best Practices: Design Studios,"Erica O'Neil, Lincoln Center for Applied Ethics",2021-05-20,"Infographic describing design studio best practices for the February 25th design studio cohort for ""Disability, Bodies, and Work"" as hosted by the ASU Lincoln Center for Applied Ethics",best practices; documentation,"Phoenix, Arizona",33.45475452,-112.0704744,"Lincoln Center for Applied Ethics, Arizona State University",,"Text, Image;StillImage",application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,how-might-we-tips.jpg,,,How Might We,CoCreAct,2020,"Infrographic with instructions for exploring ""how might we"" questions in a design studio context",best practices; documentation; ephemera; training resources; design thinking; research questions,"Hamburg, Germany",53.51278421,10.01227393,CoCreACT,,"Text, Image;StillImage",image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,design-central.pdf,,,Design Central for Brokenness/Repair: Archive for a Mended Future,Lincoln Center for Applied Ethics,2022-04-08,"Document detailing activities of the April 8, 2022 Design Studio on Brokenness/Repair with host Purdom Lindblad",documentation; repair; design thinking; event,"Phoenix, Arizona",33.45475452,-112.0704744,"Lincoln Center for Applied Ethics, Arizona State University",,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,faq-studios.pdf,,,"Humane Tech Design Studios FAQ: Disability, Bodies, Work","Elizabeth Grumbach, Lincoln Center for Applied Ethics",2021-02-25,"Infrographic with frequently asked questions, as circulated to a design studio cohort on February 25","documentation; disability, future of work; design thinking","Phoenix, Arizona",33.45475452,-112.0704744,"Lincoln Center for Applied Ethics, Arizona State University",,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,repair-cc-9-30-22.txt,,,Design Studio on Brokenness/Repair (9/30/22): Closed Captioning Transcript,,2022-09-30,Text file with closed captioining transcription from the 9.30.22 Design Studio on Brokennes/Repair with Purdom Lindblad,event; transcription,"Phoenix, Arizona",33.45475452,-112.0704744,"Lincoln Center for Applied Ethics, Arizona State University",,Text,application/txt,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,studio-cohort.jpg,,,Studio Cohort screenshot from Future of Work Design Studio with Katina Michael,Katina Michael,2021-02-25,"Screenshot with all Design Studio cohort participants from the Future of Work studio with host Katina Michael, taken as Katina performed her poetry in front of a rising sunset in Australia",event; photograph,"Melbourne, Australia",-38.16933018,144.8663677,"Katina Michael, Arizona State University",,Image;Still Image,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,studio-planning-image.pdf,,,Studio Planning Notes ,Tamara Christensen,2022-09-30,"Planning Notes for Design Studio on Brokenness/Repair, detailing embodied art/design exercise",event; documentation; notes; planning document,"Tempe, Arizona",33.55086683,-111.8917088,"Tamara Christensen, CoCreAct",,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,slide-deck-9-30-repair.pdf,,,Humane Tech Design Studio on Brokennes Repair with host Purdom Lindblad,Lincoln Center for Applied Ethics,2022-09-30,Slide deck for design studio on Brokenness/Repair (9/30/22) with host Purdom Lindblad,event; documentation; design thinking; research questions; repair; archive,"Phoenix, Arizona",33.45475452,-112.0704744,"Lincoln Center for Applied Ethics, Arizona State University",,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
